pH,temperature,hydrogen_yield,avg_h2_rate,status
8.0,25.0,5514.291897106368,501.2992633733062,success
8.0,40.0,6009.021920359311,546.2747200326646,success
7.0,30.0,5680.468559009773,516.4062326372522,success
7.0,40.0,5998.370258316006,545.3063871196368,success
8.0,30.0,5688.578987607905,517.1435443279914,success
7.0,35.0,5841.103791229052,531.0094355662775,success
8.0,35.0,5852.411793983372,532.0374358166702,success
7.0,25.0,5511.846802762957,501.0769820693597,success
6.0,35.0,2624.4585310181074,238.5871391834643,success
6.0,40.0,3900.4821282751627,354.5892843886512,success
5.0,35.0,2538.7028277128206,230.791166155711,success
5.0,30.0,2471.892149527685,224.7174681388804,success
5.0,25.0,2400.908299282929,218.26439084390267,success
5.0,40.0,3811.2546807397557,346.4776982490688,success
6.0,30.0,3717.8954791133087,337.9904981012098,success
6.0,25.0,3624.449362339108,329.4953965762826,success
