pH,temperature,hydrogen_yield,avg_h2_rate,status
5.0,25.0,2400.908299282929,77.44865481557837,success
5.0,30.0,654501.4118390903,21112.948769002913,success
5.0,35.0,8121.417275907504,261.9812024486292,success
5.0,40.0,15880.77075145573,512.2829274663138,success
5.5,25.0,2430.5069011866035,78.40344842537424,success
5.5,30.0,2498.7402021332437,80.60452264945935,success
5.5,35.0,2565.8355456701406,82.76888857000448,success
5.5,40.0,2633.0727961734106,84.93783213462616,success
6.0,25.0,14945.312223791696,482.10684592876436,success
6.0,30.0,15310.970510479734,493.9022745316045,success
6.0,35.0,10917.059949631861,352.16322418167294,success
6.0,40.0,15993.342005813309,515.9142582520423,success
6.5,25.0,14455.830641370967,466.31711746357956,success
6.5,30.0,3315.510040457315,106.95193678894564,success
6.5,35.0,3387.294346850809,109.26755957583254,success
6.5,40.0,3462.1941535125934,111.68368237137398,success
7.0,25.0,16747.637200631143,540.246361310682,success
7.0,30.0,17160.878081486022,553.5767123060006,success
7.0,35.0,17555.939980647134,566.3206445370043,success
7.0,40.0,17943.70473791117,578.8291850939087,success
7.5,25.0,16777.126361366914,541.1976245602231,success
7.5,30.0,17196.13130743427,554.7139131430412,success
7.5,35.0,17593.959086384722,567.547067302733,success
7.5,40.0,17980.137898909088,580.0044483519059,success
8.0,25.0,16785.99858440238,541.4838253033024,success
8.0,30.0,17207.78772791332,555.0899267068813,success
8.0,35.0,17607.489868945016,567.9835441595166,success
8.0,40.0,17994.026432770646,580.4524655732466,success
